latent_dim1,latent_dim2,door_open/min (ratio),door_move/min (ratio),door_error/min (ratio),door_close/min (ratio),x,y,z,pressure,pressure_base,temparature(°C),size
0.86774653,2.457416,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.111044236,0.22733092,-0.020701844,0.4354847,0.1570983,-0.6892781,1.0
0.02063629,2.1462307,-0.0064381287,0.93910754,-0.09949921,-0.324786,-0.000405255,-0.076464154,0.20443688,0.8021039,0.88263434,-0.118734546,1.0
1.5269146,1.9855995,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.14738734,0.20998845,-0.09873493,-0.38578758,-0.032777563,0.3337087,1.0
2.2705696,1.7908437,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.0077590086,-0.14692627,0.03258035,-0.8186214,-0.7073518,0.930714,1.0
0.966356,1.2141526,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.1579312,0.22375989,-0.14932546,0.38726363,0.03856894,1.2235351,1.0
0.17591268,1.8341687,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.16607423,0.22529836,0.07946548,1.0279906,0.6742093,0.0014183347,1.0
0.71341294,1.2953553,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.002822525,-0.1059876,0.07617057,0.5512448,0.2914344,0.97741467,1.0
0.6628426,-3.9135363,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.13819286,0.21043776,-0.00017959949,0.69712734,0.47912928,1.45713,1.0
0.68329674,-4.212289,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.041503493,0.20939952,-0.08088389,0.5231404,0.32691333,0.8093189,1.0
0.6615884,1.5560509,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.03478652,-0.09851967,0.03714221,0.4938167,0.4087977,0.539162,1.0
0.75495404,2.834518,-0.08536329,0.011192659,-0.09949921,0.094296746,-0.006670744,-0.101712555,-0.078497715,0.43298328,0.5219501,-1.496525,1.0
